slug,title,image,price,sku,description/0,brand,box,connecting_wire,kit_included,warranty_period,inverter,home_features,horse_power,room_size,power_consumption,model,warranty_type,product_warranty,color_family,short_description_en,name_en,description_en,imported,product_warranty_en,quantity,delivery_option_economy,special_price,special_from_date,special_to_date,seller_promotion,package_weight,package_length,package_width,package_height,tax_class,hazmat,express_delivery
gree-gs-12fith1w-fairy-inverter-air-conditioner-series-white,Gree GS-12FITH1W - Fairy Inverter Air Conditioner Series - White,https://static-01.daraz.pk/p/814c510f0912443ff4b6ef017a1ccafa.jpg_340x340q80.jpg_.webp,"Rs. 66,900",GR678HL09YUCKNAFAMZ-3940302,N/A,Gree,1 X Inverter AC1 X Warranty Card1 X Manual1 X Remote Set,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"EN
03 Year Compressor Warranty01 Year Parts Warranty",N/A,N/A,N/A,N/A,N/A,03 Year Compressor Warranty01 Year Parts Warranty,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
gree-split-air-conditioner-gs-12lm4-1-ton-white,Gree Split Air Conditioner - GS-12LM4 - 1 Ton - White,https://static-01.daraz.pk/p/7d9204565f5757883586b26a0a810721.jpg_340x340q80.jpg_.webp,"Rs. 42,999",GR678HL1E0WZSNAFAMZ-1741958,"Air Conditioner GS-12LM4 - 1 Ton - White
Elegant White Glossy Finish Cold Plasma Generator 12000 18000 BTU Golden Fin Condenser Six Health Filters Poweful Tropical Compressor I Feel Magic Mirror Low Voltage Start Up Four way Air Outlet Multi Fan Speeds Comfortable Sleeping Modes Memory Function Automatic Drying Operation Intelligent Deforsting Self Diagnosis On Off timer Removable Washable Panel Integrated Design U-Type Inner Groove Copper Pipe Efficient Quiet Turbo Cooling.
Specifications
Elegant White Glossy Finish
Cold Plasma Generator (12,000 BTU)
Golden Fin Condenser
Six Health Filters
Poweful & Tropical Compressor
Low Voltage Start Up
Four way Air Outlet
Multi Fan Speeds
Comfortable Sleeping Modes
Memory Function
Automatic Drying Operation
Intelligent Deforsting
Self Diagnosis
On Off timer
Removable Washable Panel
Integrated Design
U-Type Inner Groove Copper Pipe
Efficient & Quiet Design
Turbo Cooling",Warranty,1 x Inner1 x Outer1 x Remote1 x Warranty Card,No,No,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,"EN
3 Years Compressor and 1 Year Parts Brand Warranty",N/A,N/A,N/A,N/A,N/A,3 Years Compressor and 1 Year Parts Brand Warranty,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
dawlance-proactive-inverter-15-1-ton-heat-and-cool-split-ac,Dawlance ProActive Inverter 15 1 Ton Heat & Cool Split AC,https://static-01.daraz.pk/p/b6328e0d4c7a54503906e149f5c4f526.jpg_340x340q80.jpg_.webp,"Rs. 56,000",122286329_PK-1278414708,"Key Features
Inverter technology- saves upto 60% electricity annually
Say goodbye to stabilizers
Dual function –cooling & heating
Dawlance Pro-Active A/C can run on generator
Specifications
Cooling Capacity
1 Ton
Room Size
500 to 650 Sqft",Dawlance,1inner/1outer/warranty card/1 remote,No,Yes,N/A,N/A,N/A,N/A,N/A,N/A,proactive 15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
haier-18-hrv-15-ton-ups-enabled-self-cleaning-dc-inverter-air-conditioner,Haier 18-HRV 1.5 Ton - UPS Enabled Self Cleaning DC Inverter Air Conditioner,https://static-01.daraz.pk/p/18d0e615e7125c6c4d38efdfe543c4bb.jpg_340x340q80.jpg_.webp,"Rs. 74,000",135554083_PK-1295782319,,Haier,"Indoor Unit, Outdoor Unit, User Manual, Wires, Pipe, Warranty Card, Remote Controller",Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Haier 18-HRV,N/A,"EN
5 Years for Compressor - 1 Year for parts",N/A,N/A,N/A,N/A,N/A,5 Years for Compressor - 1 Year for parts,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
dawlance-1-ton-inverter-inspire-plus-air-conditioner-heat-and-cool,Dawlance - 1 ton Inverter - Inspire Plus - air conditioner - Heat and Cool,https://static-01.daraz.pk/p/77b01a954989ad1732303b8f138f1693.jpg_340x340q80.jpg_.webp,"Rs. 59,990",102866165_PK-1253204107,"Turbo Cool
LED Display
Auto Restart
Eco Friendly tech
Wide angle Air Flow
Anti Rust Out Door casing
Large Indoor Unit",Dawlance,"Inner, outer, remote, connection pipes, fitting material",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
daikin-16-ton-dc-inverter-heat-and-cool-r-410a-air-conditioner,Daikin \1.6 Ton Dc Inverter Heat & Cool R-410A Air Conditioner,https://static-01.daraz.pk/p/179f5420b72a68068a35e634af43c83c.jpg_340x340q80.jpg_.webp,"Rs. 174,999",DA800HL0JY2DCNAFAMZ-3804688,N/A,Daikin,"1 x Indoor, 1 x Outdoor, 1 x Remote Controller, 1 x Warranty Card, 1 x User manual",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"EN
3 year compressor &1 year parts warranty",N/A,N/A,N/A,N/A,N/A,3 year compressor &1 year parts warranty,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
changhong-ruba-csdc-12bah-cool-dc-inverter-ac-1-ton-white,Changhong Ruba CSDC-12BAH - Cool DC Inverter AC - 1 Ton - White,https://static-01.daraz.pk/original/4313496b747c1c402e43459ebb4c4731.jpg_340x340q80.jpg_.webp,"Rs. 62,500",CH777HL17BRAYNAFAMZ-5082793,"Summer Would be Cooler than Ever!

This
Inverter Split Air Conditioner will make this summer coolerthan ever
with it’s instant cooling and amazing efficiency. The amazing is atyour
service to keep the terrible heat out while providing terrific cooling
in.

ElectricityBill is No Worry!

The
Inverter Split Air Conditioner starts on a low voltage anddoes not take
the budget out of your range. This Inverter AC has every featurethat
makes life easier for you. While you provide the best way to prevent
heatto your home this summer, it will take care of your pocket.

Refrigerant

	

R410a




Capacity (BTU)Cooling

	

12000




Power Supply From

	

Indoor unit




Gas Pipe Size

	

12.7mm(1/2”)




Liquid Pipe Size

	

6.35mm(1/4”)




Maximum Piping Length

	

17 meters




100% Capacity Piping Length

	

3-4meters




Maximum Elevation

	

7 meters




Applicable Room Size

	

12-14




Warranty

	

1 years(3 years for compressor)",Changhong Ruba,"1 x Remote Control, 1 x Installation Pipe Kit, 1 x Connect Wire, 1 x Warranty Card, 1 x User Manual",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"EN
3+1 (3 Years Compressor + 1 Year Parts)",N/A,N/A,N/A,N/A,N/A,3+1 (3 Years Compressor + 1 Year Parts),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
kenwood-split-ac-kea-1821s-eamore-air-conditioner-series-heat-and-cool-white,Kenwood Split AC KEA-1821S eAmore Air Conditioner Series - Heat & Cool - White,https://static-01.daraz.pk/p/593c7c93bc9f83a974091f7e5e217fce.jpg_340x340q80.jpg_.webp,"Rs. 53,999",2864398_PK-1246031778,"Kenwood Split AC KEA-1821S eAmore Air Conditioner Series - Heat & Cool - White

A highly affordable series of air conditioners which stands out in a minimalistic white design , capable of delivering excellent cooling and heating performance while being up to 14% efficient in terms of energy consumption.",Kenwood,"01 Split AC, 01 Warranty Card, 01 Manual",Yes,Yes,N/A,No,N/A,N/A,N/A,N/A,eAmore Split Air Conditioner Series,N/A,"EN
03 Year Compressor Warranty, 01 Year Parts Warranty",N/A,N/A,N/A,N/A,N/A,"03 Year Compressor Warranty, 01 Year Parts Warranty",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
samsung-split-ar12kcfsrwk-1-ton-12000btu-white-free-installation-for-karachi-only,Samsung Split - AR12KCFSRWK - 1 ton - 12000BTU - White (Free Installation for Karachi Only ),https://static-01.daraz.pk/p/9405be877ff081383189bc1f62e539e1.jpg_340x340q80.jpg_.webp,"Rs. 68,000",130213918_PK-1290035179,"Triangle Design For Powerful Cooling

The Samsung Air Conditioner’s unique triangular design improves its performance, circulating cool air faster, farther and wider* around your home. Its Digital Inverter also provides significantly greater energy efficiency.** And its Virus Doctor and Easy Filter eliminates dust, contaminants, allergens, bacteria and viruses*** - firstly using a filter and secondly with Virus Doctor. * Tested on AR09HSFSBWK model. Compared with Samsung conventional model AQV09TWS. ** Tested on AR09HSSDAWK/EU. Compared with Samsung conventional model AQ09TSB. *** Tested in Kitasato Environmental Science Centre (Japan) & Yonsei Univ. (Korea) / Korea test lab (FITI / KEMTI) and Japan test lab (ITEA). Effective on 4 viruses, including Subtype H1N1, and certain bacteria. Data has been measured under specific testing conditions and may differ based on environmental factors.

Cools Faster, Farther, and Wider

The Samsung Air Conditioner has been designed from the ground up to be outstandingly efficient. Its uniquely triangular design has a wider inlet, so more air can be drawn in. The improved width and angle of its outlet, extra v-blades and a bigger fan also ensure that air is cooled and expelled faster, farther and wider*. So refreshingly cool air reaches every corner of your room. * Tested on AR09HSFSBWK model. Compared with Samsung conventional model AQV09TWS.

Cools You Fast Then Cools You Comfortably

The Samsung Air Conditioner begins cooling the air fast using its powerful Fast Cool mode, so it gets there quickly. It then automatically changes the mode to Comfort Cool to maintain the desired temperature. So you won’t feel cold and don’t have to keep manually changing the settings or turning the Air Conditioner on and off.

Automatically Save Energy

With Single User mode, you don’t have to repeatedly turn the Samsung Air Conditioner on and off to save energy or worry about using it if it’s not unbearably hot. Inthis mode, the compressor and fan only run long enough to maintain the desired temperature and automatically shut off when they’re not needed. So it uses much less electricity * – keeping your bills low and your rooms cool. * Tested on AR12HPSDDWK. Based on accumulated power consumption of normal mode vs. single user mode

Eliminates Viruses

Virus Doctor and Easy Filter eliminates dust, dangerous airborne contaminants and allergens, as well as bacteria and viruses, including the Influenza A and Corona viruses* – firstly using a filter and secondly with Virus Doctor. So it keeps the air you breathe clean and healthy. * Tested in Kitasato Environmental Science Centre (Japan) & Yonsei Univ. (Korea) / Korea test lab (FITI / KEMTI) and Japan test lab (ITEA). Effective on 4 viruses, including Subtype H1N1, and certain bacteria. Data has been measured under specific testing conditions and may differ based on environmental factors.

Stable, Long-lasting Performance

The Samsung Air Conditioner keeps going in the most challenging environments. Its Triple Protector Plus technology prevents the compressor and controller from being overloaded by power surges and fluctuating electrical currents, without a separate voltage stabiliser. It also has an anti-corrosive coating to stop the condenser from corrosion, and cabinet from rusting. And its larger condenser and optimised refrigerant flow mean it can endure extremely hot temperatures (up to 58 ºC)*. * Tested on AR09HPSDDWK/SG. Compared with Samsung conventional model AR09HPSDFAP/RC

Easy to Take Out and Clean

Unlike conventional filters that are often difficult to access, the Samsung Air Conditioner’s Easy Filter is located outside, on the top. So it can easily be taken out, cleaned and put back – without having to open a cover or pull hard to get it out. And its anti-bacterial coating filters dust, dangerous airborne contaminants and allergens.* * Tested in Korea test lab (FITI / KEMTI) and Japan test lab (ITEA). Data has been measured under specific testing conditions and may differ based on environmental factors.

Smartly Convenient

With the Samsung Air Conditioner you can enjoy the confidence that it's perfectly installed and the convenience of remote control and trouble-shooting. Smart Installation checks for common problems to make sure it is properly installed. Using an App on your smartphone, Smart Wi-Fi lets you monitor and change energy settings from anywhere and Smart Check lets you diagnose errors and request a service immediately.

Ensure Perfect Installation

Smart Installation is a self-diagnosis feature that ensures your Samsung Air Conditioner is installed perfectly by your service engineer. It automatically checks for installation faults that can cause problems when using the air conditioner, including ineffective communication with the outdoor unit, any issues with the integrity of the air pipe and poor refrigerant flow.

Easy Troubleshooting

The Samsung Air Conditioner includes Smart Check, an automatic error-monitoring system. It detects and diagnoses problems at an early stage and provides quick and easy troubleshooting solutions using a smartphone App*. So it saves you time having to find the manual and avoids the cost and inconvenience of unnecessary engineer callouts** – and potentially expensive repair bills. * Available on iPhones and Android devices. ** This function operates for certain error mode only and is not substitute for periodic service checkup.",Samsung,1x indoor 1x outdoor 1x warranty,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Ar12 - Split Air Conditioner With Fast Cooling - 1.0 Ton - White,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
haier-15-ton-ac-turbo-cool-47-fast-cooling-18-ltz,Haier 1.5 Ton AC Turbo Cool 47 % Fast Cooling - 18 LTZ,https://static-01.daraz.pk/p/2a743aba7e177c500b0dcf5362269bf9.jpg_340x340q80.jpg_.webp,"Rs. 61,500",135972958_PK-1296328152,"A highly affordable series of air conditioners which stands out in a minimalistic white design, capable of delivering excellent cooling and heating performance. This Air Conditioner will make this summer cooler than ever with its instant cooling and amazing efficiency. This AC is certainly the right choice, is a reliable choice and the right pick for anyone who wants the best for their household.

20% Power Saving Series

Haier air conditioner can give more power cooling for fast air conditioning of entire room within 1 minute.

Work upto 52 ℃(T3 condition)

Haier air conditioner can continue to give cooling or heating air even when temperature comes to 52 ℃ outside.

Turbo Cooling

Instant cooling just a push away, press"" turbo"" button on your remote controller and enjoy instant cooling.

Healthy ionizer

Enjoy the feeling of a forest at home
Just press the health button,your room if filled with refreshing ions.",Haier,1 x Haier 1.5 Ton AC - 1 x Manual Guide - 1 x Warranty Card,Yes,Yes,N/A,No,N/A,N/A,N/A,N/A,18 LTZ,N/A,"EN
3 Years Compressor Warranty 1 Year Parts Warranty",N/A,N/A,N/A,N/A,N/A,3 Years Compressor Warranty 1 Year Parts Warranty,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
kenwood-ac-kes-1837s-15-ton-split-air-conditioner-dc-inverter-white,Kenwood AC KES-1837S 1.5 Ton Split Air Conditioner DC Inverter (White),https://static-01.daraz.pk/p/38dcff541933dae1cbc326f132991152.jpg_340x340q80.jpg_.webp,"Rs. 79,500",133075181_PK-1293370759,"Bringing innovation to Pakistan's Electronics Industry

Kenwood fall under the umbrella of RNI Electrical Appliances (Pvt). Ltd. R&I Electrical Appliances has come a long way since its inception some 13 years ago. With a humble beginning, it grew from a small company with three people into a growing entity that employs hundreds of people.

The combined product range of our brands includes all kitchen, home and power appliances and aim at helping you uplift your comfort and standard of living.

Specifications:
60% Energy Saving
Capacity:1.5 Ton
AC Functionality:Heating & Cooling
AC Design:Wall Mount
Inverter Type:DC
Cooling Capacity:18000 BTU
Heating Capacity:18000 BTU
Gas:R410A
Color:Silver & White
Hidden LED Display
Stabilizer not required
DC inverter compressor
Golden Fins Condenser
Long Air throw
150 Volt Compressor start
7 Star Machine
Higher Efficency Ratio (EER 4.0)
Tropical T3 Compressor
Bigger Indoor
Bigger Outdoor
5 Dimension Inverter",Kenwood,"Inner, outer, connecting wires, connecting tubes, warranty card, fitting material",Yes,Yes,N/A,Yes,N/A,N/A,250> sq meters,1,KES-1837S,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Karachi
dawlance-pro-active-15-ton-dc-inverter-split-ac-30000-annual-saving,Dawlance Pro-Active 1.5 Ton DC Inverter Split AC 30000 Annual Saving,https://static-01.daraz.pk/p/92d72651a4793049ba17d6ebebc62773.jpg_340x340q80.jpg_.webp,"Rs. 82,999",110088226_PK-1260810114,"Product Description

This amazing combination of aesthetics and technology is designed to cater to the rising energy costs in Pakistan. Dawlance following its aim of making Pakistan proud has resolved to play its role to address the energy crisis in Pakistan. Pro Active Inverter air conditioners saves upto 60% electricity annually and with it's cutting edge mosquito repelent technology makes your environment more comfortable. The Dawlance Pro-Active Air conditioner can run on generator and can be operated without stablizer plus it can run on low voltage upto 155 volts which only Dawlance offers in Pakistan.",Dawlance,"Inner Unit, Outer Unit, Remote, Batteries, Wall Mounts for Inner, Set of Screws, Installation Pipes, Manual(s), Warranty Card",No,No,N/A,Yes,Cool and Heat 30000 Saving Annual Saving,18000,150-250 sq meters,1200,Pro-Active 1.5 Ton,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
kenwood-kenwood-ket-1226s-einverter-tech-diamond-tropical-inverter-air-conditioner-10-ton-white,Kenwood Kenwood KET-1226S - eInverter Tech Diamond Tropical Inverter Air Conditioner - 1.0 Ton - White,https://static-01.daraz.pk/p/2e0ee8367baf3bcff4ea1b73d97ffefe.jpg_340x340q80.jpg_.webp,"Rs. 55,999",KE755HL05NNUONAFAMZ-3804745,"Bringing innovation to Pakistan's Electronics Industry

Kenwood fall under the umbrella of RNI Electrical Appliances (Pvt). Ltd. R&I Electrical Appliances has come a long way since its inception some 13 years ago. With a humble beginning, it grew from a small company with three people into a growing entity that employs hundreds of people.

The combined product range of our brands includes all kitchen, home and power appliances and aim at helping you uplift your comfort and standard of living.

Summer Would be Cooler than Ever!

This Inverter Split Air Conditioner will make this summer cooler than ever with it’s instant cooling and amazing efficiency. The amazing is at your service to keep the terrible heat out while providing terrific cooling in.

Electricity Bill is No Worry!

The Inverter Split Air Conditioner starts on a low voltage and does not take the budget out of your range. This Inverter AC has every feature that makes life easier for you. While you provide the best way to prevent heat to your home this summer, it will take care of your pocket.

Specifications

General Parameters

Capacity: 1.0 Ton
AC Functionality: Heating & Cooling
AC Design: Wall Mount
Inverter Type: DC
Cooling Capacity: 12000 BTU
Heating Capacity: 12000 BTU
Gas: R410A
Color: Silver
Hidden LED Display
Stabilizer not required
DC inverter compressor
Blue Fins Condenser
Long Air throw
150 Volt Compressor start
03 Year Compressor Warranty
Long Distance Air Throw
I -Feel Function
Installation Kit 100% Pure Copper
Stabilizer not required
Golden Fins Condenser
Main Parts
Compressor
Refrigerant: R410a",Kenwood,1 X Inverter AC1 X Warranty Card1 X Remote Set1 X Warranty Card,No,Yes,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,"EN
03 Year Compressor Warranty, 01 Year Parts Warranty",N/A,N/A,N/A,N/A,N/A,"03 Year Compressor Warranty, 01 Year Parts Warranty",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ac-hair-15-ton-dc-inverter-18-hnc-70-energy-saver,AC Hair 1.5 Ton DC Inverter 18 HNC 70% Energy Saver,https://static-01.daraz.pk/p/759e7c87cd42c9e34f62f2ac1356ae6d.jpg_340x340q80.jpg_.webp,"Rs. 88,499",110318492_PK-1261126452,"Specifications
DC Inverter
1.5 Ton Cooling Capacity
Cooling Capacity(BTU): 18000
Heat and Cool
R410a Refrigerant
Golden Fin Condenser and Evaporator
Wall Mounted Split
Auto Clean, 67% Energy Saving, 4 Ways Air Flow, Heat and Cool, Golden Fin Condenser and Evaporator.",Heirs,"Inner Unit, Outer Unit, Remote, Batteries, Wall Mounts for Inner, Set of Screws, Installation Pipes, Manual(s), Warranty Card",Yes,Yes,N/A,",Dehumidifier,Air Direction Control,Auto Cleaning,Fast Cooling,Silent Mode,Sensor Control",DC Inverter 50% to 70% Energy Saving,18000,150-250 sq meters,1150,18 HNC,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
dawlance-powercon-inverter-30-15-ton-heat-and-cool-split-ac,Dawlance Powercon Inverter 30 1.5 Ton Heat & Cool Split AC,https://static-01.daraz.pk/p/8c5312490f8ce495f192405a982d6232.jpg_340x340q80.jpg_.webp,"Rs. 69,000",122276458_PK-1278446277,"Key Features
Powerful Cooling with Long Air Throw
Corrosion Rust Free with Gold Fin
Fire Proof Control Box
Refrigerant Leakage Detection
High Efficiency Tubing enlarges the heat transfer area
Heat & Cool Function
Specifications
Cooling Capacity
1.5 Ton
Room Size
875 to 1,100 Sqft",Dawlance,1nner/10uter/warranty card/1 remote,No,Yes,N/A,N/A,N/A,N/A,N/A,N/A,powercon 30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
haier-hsu-12sns-dc-inverter-ac-1-ton-white,Haier Hsu-12Sns - Dc Inverter Ac - 1 Ton - White,https://static-01.daraz.pk/original/52b8ef4eb4e7419213a6ebc4acb818cf.jpg_340x340q80.jpg_.webp,"Rs. 58,500",121648881_PK-1277580613,.,Haier,"Inverter Ac ( Indoor, Outdoor), Remote, User Manual, Warranty Crad, Installation Pipe",Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Hsu-12Sns,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
orient-15-ton-ultron-classic-dc-inverter-smart-edition,Orient 1.5 Ton Ultron Classic DC Inverter - Smart Edition,https://static-01.daraz.pk/p/a9e1bf12f47a45dff52cf4347d22d6a7.jpg_340x340q80.jpg_.webp,"Rs. 80,500",101877959_PK-1247510531,"Description:

Keeping with our tradition to offer the very best in the consumer electronics market, we’re now letting you live a wonderfully smart life with the Ultron Classic Smart Edition! This all-new version of our Ultron Classic DC Inverter comes with an already installed Smart Wi-Fi Kit – which means that your AC is already online-powered. All you have to do is connect it with the MEVRIS app to begin tracking its consumption data in real time and for schedule management. In addition, it has everything you’ve come to expect from the typical Orient AC – reliability, efficiency, powerful heating/cooling, energy savings, international level technicalities and an exterior that will leave your guests feeling envious.",Orient,1 x Remote Control 1 x Installation Pipe Kit 1 x Connect Wire 1 x Warranty Card 1 x User Manual,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.5 Ton Ultron Classic DC Inverter,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
pel-air-conditioner-24k-supreme-cabnet,PEL Air Conditioner 24K-Supreme Cabnet,https://static-01.daraz.pk/original/c79b31aa0d933a5bfbf13f187b81dacd.jpg_340x340q80.jpg_.webp,"Rs. 160,000",101027213_PK-1246454913,"1 year Official Brand Warranty
5 Years Compressor Warranty
High Performance Compressor
Sleek And Stylish
Durable
Powerful through
Low Energy Consumption",PEL,"Warranty card, Product",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24K-Supreme,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
samsung-samsung-inverter-ac-18nsf-handc-15-ton-white,Samsung Samsung Inverter AC 18NSF H&C - 1.5 Ton - White,https://static-01.daraz.pk/p/e5332e38b9c8b6f180ca49045784cf25.jpg_340x340q80.jpg_.webp,"Rs. 109,900",SA609HL0D7ODINAFAMZ-5225722,N/A,Warranty,"Indoor Unit, Outdoor Unit, Remote, Batteries, Wall Brackets for Indoor Unit, Manual(s), Warranty Card",No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"EN
5 Years Compressor & 1 Year Parts Brand Warranty",N/A,N/A,N/A,N/A,N/A,5 Years Compressor & 1 Year Parts Brand Warranty,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
dawlance-econo-inverter-split-air-conditioner-1-ton-15,Dawlance Econo Inverter Split Air Conditioner 1 Ton (15),https://static-01.daraz.pk/p/c4d00add89307a6f77731cda0386869f.jpg_340x340q80.jpg_.webp,"Rs. 59,000",122002808_PK-1278108214,"DESCRIPTION:

the best price for Dawlance Econo Inverter Split Air Conditioner 1 Ton (15) with 1 year official warranty and express shipping all over Pakistan.

Now with the new Dawlance Inverter Range, summers and bills are no longer a concern. Save up to PKR 30,000 annually with our new Inverter AC range. This season our Advanced Typhoon Air Technology with its bigger indoor and more air throw offers a complete solution to counter hot weather.

Features:

• Inverter Compressor

• 100% Copper Connecting Pipes.

• Self cleaning Function

• Voltage range: 150 to 260 V

• Anti-F feature

• Typhoon air technology

• 1100mm Bigger indoor

• Large air throw

Warranty:

1 Year Parts

3 Years Compressor",Dawlance,1 X Inverter AC1 X Warranty Card1 X Manual1 X Remote Set,No,Yes,N/A,N/A,N/A,N/A,N/A,N/A,ECONO 15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
air-conditioner,Air conditioner,https://static-01.daraz.pk/p/f06e1233f2d92ff7596339492b11b4a2.jpg_340x340q80.jpg_.webp,"Rs. 98,000",102690618_PK-1248564258,"- Complete DC Inverter

- Powered By A-PAM Technology

- One Touch Cleaning* - Environment Friendly R410 Refrigerant - Turbo Cooling and Heating - 46C Complete BTU - Energy Saving up to 67% - 4-Way Air Flow - Voltage Stabilizer (120V-260V) - Sleep Mode - Power Mode Memory (Auto Restart) - Healthy Air Flow - Improved printed circuit board Controller - Low Voltage Startup 120V - Ultra Quiet Operation - Complete QC check - Elegant Design - Capacity (BUT) Cooling 18000 - Heating 18000 - Power input (KW) Cooling 0.32-1.84 - Heating 0.32-1.84 - EER 3.70 - Running Current (A) 1.45-6.50 - Refrigerant R410",Haier,"1x inverter AC - 1.5 ton, 1x remote,1 AC kit, 1x booklet, 1x warranty card",No,No,N/A,",Timer,Air Direction Control,Auto Cleaning,Fast Cooling,Silent Mode",N/A,N/A,N/A,N/A,18 sns,N/A,"EN
5 years brand warranty",N/A,N/A,N/A,N/A,N/A,5 years brand warranty,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
orient-orient-atlantic-18-15-ton-inverter-air-conditioner-atlantic-18,Orient Orient Atlantic 18 - 1.5 Ton Inverter Air Conditioner Atlantic-18,https://static-01.daraz.pk/p/e69fdc679185d81abc58b2187a7ca57a.jpg_340x340q80.jpg_.webp,"Rs. 67,943",OR771HL06DEPCNAFAMZ-4085739,"Orient Atlantic DC Inverter AC - -

Pakistan’s leading appliance manufacturer Orient introduces it new range of energy efficient air conditioners that will help you reduce your electricity consumption and experience powerful cooling all year long. Our products are set apart by functional performance and design, something that embedded in our core as a company – Live in Innovation.


Contemporary Black Patterned Design
Full Money Back
R410 Environment friendly Refrigerant
Low Voltage upto 150v
Energy Saving Upto 60%
Double Layer Condenser",Orient,1 X Inverter AC1 X Warranty Card1 X Manual1 X Remote Set,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"EN
03 Year Compressor Warranty01 Year Parts Warranty",N/A,N/A,N/A,N/A,N/A,03 Year Compressor Warranty01 Year Parts Warranty,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
