slug,title,image,thumbnails,cutting_price,price,sku,capacity,description/0,brand,box,connecting_wire,kit_included,warranty_period,inverter,home_features,horse_power,room_size,power_consumption,model,warranty_type,product_warranty,color_family,short_description_en,name_en,description_en,imported,product_warranty_en,quantity,delivery_option_economy,special_price,special_from_date,special_to_date,seller_promotion,package_weight,package_length,package_width,package_height,tax_class,hazmat,express_delivery
dawlance-split-sprinter-series-30-15-ton-split-white-inverter-free-installation-for-karachi-only,Dawlance split sprinter series 30 - 1.5 Ton Split - white - Inverter ( Free Installation For Karachi Only),https://static-01.daraz.pk/p/fbbeb2f15f9c165f09d98b5143679de1.jpg_340x340q80.jpg_.webp,https://static-01.daraz.pk/p/fbbeb2f15f9c165f09d98b5143679de1.jpg_80x80q80.jpg_.webp,"Rs. 69,999","Rs. 67,000",121676886_PK-1277584692,N/A,"Sprinter Inverter

DAWLANCE Sprinter Inverter Series is a high performance AC unit which provides Quick Cooling, Long Air-Throw with durability and safety.It’s Auto Refrigerant Leakage Detection & Fire Proof Control system is the most advanced function which ensures safety for you & your family.

Key Features

Quick Cooling Long Air Throw

Refrigerant Leakage Detection

Fire Proof Control Box

Corrosion & Rust Free With Gold Fin

High Efficiency Tubing

Heat & Cool Function",Dawlance,1x indoor 1x outdoor 1x user manual 1x warranty card,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Dawlance split sprinter series 30 - 1.5 Ton Split - white - Inverter,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
kenwood-inverter-air-conditioner-kee-2436s-eco-plus-inverter-series-75-saving-20-ton-golden,Kenwood Inverter AIr Conditioner KEE-2436S - ECO Plus Inverter Series - 75% Saving - 2.0 Ton - Golden,https://static-01.daraz.pk/p/108542ea1d9dbfc6d02e7468ffcda26a.jpg_340x340q80.jpg_.webp,https://static-01.daraz.pk/p/108542ea1d9dbfc6d02e7468ffcda26a.jpg_80x80q80.jpg_.webp,"Rs. 133,900","Rs. 107,499",110154185_PK-1260896277,N/A,"Kenwood Inverter AIr Conditioner KEE-2436S - ECO Plus Inverter Series - 75% Saving - 2.0 Ton - Golden

Presenting the New eInverter Eco in a metallic gray finish that is designed to enhance the décor of your room. This model is the perfect combination of advanced technology complimented by its modern design .With up to 75% energy efficiency, heating and cooling function, this model is the ideal choice for your space without compromising on quality

• Heat and Cool Function
• DC Inverter Compressor
• Up to 75% Energy Efficiency
• Five years Compressor Warranty
• Long Distance Air Throw
• Turbo Operation
• Super-Fast cooling and heating
• Blue Fins Condenser
• Refrigerant Gas R410A
• Stabilizer not required
• Installation Kit 100% Pure Copper",Warranty,"Inner,Outer,Warranty Card,Remote Set,Manual",Yes,Yes,N/A,Series,N/A,N/A,N/A,N/A,Eco Plus Inverter Series,N/A,"EN
05 Year Brand Warranty",N/A,N/A,N/A,N/A,N/A,05 Year Brand Warranty,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
orient-1-ton-atlantic-dc-inverter-gold-white,Orient - 1 Ton - Atlantic - DC Inverter - Gold White,https://static-01.daraz.pk/original/f904556ad83962fe3066033148967b07.jpg_340x340q80.jpg_.webp,https://static-01.daraz.pk/original/f904556ad83962fe3066033148967b07.jpg_80x80q80.jpg_.webp,,"Rs. 60,000",OR771HL1D6E60NAFAMZ-4433603,1 Ton / 12000 BTU,"Orient’s Atlantic DC Inverter A/C offers instant cooling & amazing efficiency to meet Pakistan’s challenging air conditioning needs. Its decent appearance adds to the looks of your dwelling, making it go noticed every time. Packed with superb features & modern inverter technology, the Atlantic provides optimum performance and ensures maximum savings without compromising your budget.

Brand Warranty
Low Voltage upto 150v
Energy Saving Upto 60%
Double Layer Condenser
Elegant White Body
R410 Environment friendly Refrigerant

Cooling

RATED CAPACITY (COOLING)	12000 Btu/h
RATED POWER CONSUMPTION (C)	1100 W
RUNNING CURRENT (C)	4.8 A
SEER (C)	3.6

Heating

RATED CAPACITY (H)	12000 Btu/h
RATED POWER CONSUMPTION (H)	1100 W
RUNNING CURRENT (H)	4.8 A
SEER (H)	3.6

Electrical Data

RATED VOLTAGE	220-240V
RATED FREQUENCY	1PH, 50HZ

Technical Information

MAX PIPING (LENGTH/HEIGHT)	-
AIR FLOW	560 m3/h
ID UNIT RESISTANCE CLASS	IPX0
SOUND LEVEL	41 dB(A)
REFRIGERANT	R-410A/760 Grams

Dimensions (WxHxD)

INDOOR	802 x 189 x 297 mm
OUTDOOR	770 x 300 x 555 mm

Weight

INDOOR	8.8 Kg
OUTDOOR	26.6 Kg

Low Voltage Operation

LOW VOLTAGE OPERATION	-

Max Room Size

MAX ROOM SIZE	-

Warranty

COMPRESSOR	3 Year
PARTS	1 Year
R410A GAS	1 Year",Warranty,"Indoor Unit, Outdoor Unit, Remote, Manual(s), Warranty Card",N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,1.0 Ton Atlantic,N/A,"EN
3 Years Compressor & 1 Year Parts Brand Warranty",N/A,N/A,N/A,N/A,N/A,3 Years Compressor & 1 Year Parts Brand Warranty,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
proactive-series-inverter-air-conditioner-15-ton-champagne,ProActive Series Inverter Air Conditioner - 1.5 ton - champagne,https://static-01.daraz.pk/p/00433ce6019ca3a532e022c82b4a8f13.jpg_340x340q80.jpg_.webp,https://static-01.daraz.pk/p/00433ce6019ca3a532e022c82b4a8f13.jpg_80x80q80.jpg_.webp,,"Rs. 69,000",DA705HL1LK1FMNAFAMZ-5098918,1.5 Ton / 18000 BTU,"Technical Assistance: 0301-8228361 (Mon - Fri; 10 AM - 7 PM)
See Below Description for EMI Details
Brand Warranty
Capacity: 1.5 ton
18000 BTU
Say Goodbye to Stabilizers - No Stabilizer Needed
Dual Function - Cooling & Heating
Low Voltage Startup - Can Run on Voltages as Low as 155V",Warranty,"Air Conditioner, Outer, Remote, Batteries, Wall Mount, Manual(s), Warranty Card",N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,"EN
3 Years Compressor & 1 Year Parts Brand Warranty",N/A,N/A,N/A,N/A,N/A,3 Years Compressor & 1 Year Parts Brand Warranty,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
haier-dc-inverter-air-conditioner-15-ton-red-hsu-18sns,Haier DC Inverter Air Conditioner 1.5 Ton RED (HSU-18SNS),https://static-01.daraz.pk/p/6c0281810425c5ac62e488d779358bc7.jpg_340x340q80.jpg_.webp,https://static-01.daraz.pk/p/6c0281810425c5ac62e488d779358bc7.jpg_80x80q80.jpg_.webp,,"Rs. 84,308",131135765_PK-1291052497,N/A,"A-PAM inverter technology is the upgrade of 180 sine wave inverter. it adopts additional mental control to decrease the vibration in the low compressor frequency and also contribute to great power saving
 

 

By A-PAM DC inverter technology, it can give 66% power saving approx.
 

 

Haier air conditioner can continue to give cooling or heating air even when the temperature comes to 52 ℃ outside.
 

 

 

Wide voltage with the fluctuations between 175V-242V has a strong adaptability, whether, under urban-peak, or insufficient power supply in remote areas, the unit is able to operate normally. Like cactus.
Common ones only resume normal operation under 220V or so, the machine would burn down if voltage is too high, while too
 

 
 

General Parameters         
Ton:  1.5
Fixed or inverter:  DC Inverter

 

Appearance         
Display:  hidden LED

       
Refrigerant:  R410a

 

 

 

 

Specification

 

Cooling Capacity

 

 

 

18000 BTU

YES

 

 

 

Cooling Type

 

 

 

Heat & Cool

YES

 

 

 

 

Technology

 

 

 

INVERTER

Yes

 

 

 

 

Warranty

 

 

 

3years+1year Manufacturer

YES

 

 

 

 

Air Conditioner Type

 

 

 

Wall Mounted

Yes",Haier,1 x Inverter AC - 1.5 Ton - White1 x Remote1 x AC Kit1 x Booklet1 x Warranty Card,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,HSU-18SNS,N/A,"EN
5 Years",N/A,N/A,N/A,N/A,N/A,5 Years,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
aux-daikool-asf-24dclh-inverter-air-conditioner-20-ton-white,AUX-DAIKOOL ASF-24DCLH Inverter Air Conditioner - 2.0 Ton - White,https://static-01.daraz.pk/p/290bdad5be56878d8534409b36fc114b.jpg_340x340q80.jpg_.webp,"https://static-01.daraz.pk/p/290bdad5be56878d8534409b36fc114b.jpg_80x80q80.jpg_.webp,https://static-01.daraz.pk/original/e651c2dafbec9e7a129edea8c39f29f3.jpg_80x80q80.jpg_.webp",,"Rs. 110,000",AU109EL1LEO1ONAFAMZ-1572460,2 Ton / 24000 BTU,"Ultimate Inverter Technology

Want to cut down on your electric expenses while enjoying cool and fresh air in your room? Then AUX has fulfilled your demand as it's new technology comes with Inverter that saves your electrical cost and gives you a backup when you are facing electrical fault. It adopts additional momental control to decrease the vibration in the low compressor frequency and also contribute to great power saving.

Jet Cool
With its Jet Cool technology, it will give you extremely cold air and make you feel comfortable. No matter how hot the temperature is outside, AUX inverter AC will make sure that your room stays cool and you get a comfortable sleep.
Specifications:
Rated Capacity:
Cooling: W - 6400 (2800-7000)
Heating: W - 6400 (2900-7200)
Rated Power Consumption
Cooling: W - 2020 (730-2600)
Heating: W - 2020 (800-2700)
Rated Running Current
Cooling: A - 8.8(3.4-11.4)
Heating: A - 8.8(3.6-11.8)
Min. Stating From
150V
Max. Input Power
2600
Max. Input Curren
11.5
Noise Level
48
Dimensions
Packaging Type: 6 Face
Net Dimensions: 1100x330x235
Packing Dimensions: 1160x400x305",AUX-DAIKOOL,1 x ASW-H-24 - Inverter Air Conditioner - 2.0 Ton - White1 x Manual 1 x Warranty1 x Remote control1 x 10ft Copper piping and drain pipe,No,Yes,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,"EN
3 Years Compressor1 Year Parts Warranty2 year PC board warranty",N/A,N/A,N/A,N/A,N/A,3 Years Compressor1 Year Parts Warranty2 year PC board warranty,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
eamore-kea-1821s-split-air-conditioner-15-ton-heat-and-cool,Eamore Kea-1821S - Split Air Conditioner - 1.5 Ton - Heat And Cool,https://static-01.daraz.pk/original/280fbef412ee9d7baaa2253c8c654bca.jpg_340x340q80.jpg_.webp,https://static-01.daraz.pk/original/280fbef412ee9d7baaa2253c8c654bca.jpg_80x80q80.jpg_.webp,,"Rs. 60,000",KE755HL1MUOOENAFAMZ-5568848,1.5 Ton / 18000 BTU,"Bringing innovation to Pakistan's Electronics Industry

Kenwood fall under the umbrella of RNI Electrical Appliances (Pvt). Ltd. R&I Electrical Appliances have come a long way since its inception some 13 years ago. With a humble beginning, it grew from a small company with three people into a growing entity that employs hundreds of people.

The combined product range of our brands includes all kitchen, home, and power appliances and aim at helping you uplift your comfort and standard of living.


A highly affordable series of air conditioners which stands out in a minimalistic white design , capable of delivering excellent cooling and heating performance while being up to 14% efficient in terms of energy consumption.
Key Features
Brand Warranty
1.5 Ton
Heat and Cool Function
Turbo Cool 
R410a gas (KEA-1221S & KEA-1821S)

Auto Restart
LED Display 
Clean Warning
Eco-Friendly technology
Wide Angle Air Flow
Intelligent Sleep Mode
Anti Rust Out Door Casing",Kenwood,"1 Split AC, 1 Warranty Card, 1 Manual",N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,"EN
03 Year Compressor Warranty01 Year Parts Warranty",N/A,N/A,N/A,N/A,N/A,03 Year Compressor Warranty01 Year Parts Warranty,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
gree-15-ton-18lm5l,GREE 1.5 TON 18LM5L,https://static-01.daraz.pk/p/7c6344a1c9707256e618c8f5d2d5b6cf.jpg_340x340q80.jpg_.webp,https://static-01.daraz.pk/p/7c6344a1c9707256e618c8f5d2d5b6cf.jpg_80x80q80.jpg_.webp,,"Rs. 66,499",115178687_PK-1266974531,N/A,Gree LOMO GS-18LM5L - 1.5 Ton - High Efficiency Air Conditioner at the best price in Pakistan with quick delivery service to all over Pakistan. So why wait? Just place your order now before it gets out of stock. Below are the more details of this product.,Gree,"1 X REMOTE,1 X WARRANTY CARD,1 X MANUAL,1 X FITTING,1 X INDOOR,1 X OUTDOOR",Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,18lm5l,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
mitsubis-15-ton-inverter-air-conditioner-hj50va-50-to-75-energy-savor,Mitsubis 1.5 Ton Inverter Air Conditioner HJ50VA 50% to 75% Energy Savor,https://static-01.daraz.pk/p/a73d734b7d8ee5809b153a8b2b086a18.jpg_340x340q80.jpg_.webp,"https://static-01.daraz.pk/p/a73d734b7d8ee5809b153a8b2b086a18.jpg_80x80q80.jpg_.webp,https://static-01.daraz.pk/p/c9869aca7222b91cc0f74fcd4b419ac3.jpg_80x80q80.jpg_.webp,https://static-01.daraz.pk/p/dc2237b6a8f54a752bf08bb0a9961fd7.jpg_80x80q80.jpg_.webp","Rs. 116,499","Rs. 112,499",115148200_PK-1266930499,1.5 Ton / 18000 BTU,"Weight	70 kg
Air Conditioner Type	

Wall Mounted Split


Cooling Type	

Heat & Cool


Technology	

Inverter


Cooling Capacity	

1.5 Ton",MIT,"Inner Unit, Outer Unit, Remote, Batteries, Wall Mounts for Inner, Set of Screws, Installation Pipes, Manual(s), Warranty Card",Yes,Yes,N/A,",Timer,Air Direction Control,Auto Cleaning,Fast Cooling,Silent Mode,Sensor Control",60% Energy Savor,18000,250> sq meters,1520,HJ50VA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
gree-2-ton-dc-inverter-heat-and-cool-r-410a-air-conditioner-24cith11s-silver,Gree 2 Ton Dc Inverter Heat & Cool R-410A Air Conditioner - 24cith11S - Silver,https://static-01.daraz.pk/original/1a23262d3592f0b878aa5f5bd0ee2632.jpg_340x340q80.jpg_.webp,https://static-01.daraz.pk/original/1a23262d3592f0b878aa5f5bd0ee2632.jpg_80x80q80.jpg_.webp,,"Rs. 113,999",3407444_PK-1247135008,2 Ton / 24000 BTU,"Inverter technology R410A
Energy efficient
Brand Warranty
Noiseless Operation
Easy maintenance
Brand warranty
Elegant Body style",Gree,"1 x Indoor,1 x Outdoor,1 x Remote Controller,1 x Warranty Card",No,No,N/A,Yes,N/A,N/A,N/A,N/A,24cith11s,N/A,"EN
1 year parts warranty",N/A,N/A,N/A,N/A,N/A,1 year parts warranty,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
110-ac-convertor,110 Ac convertor,https://static-01.daraz.pk/p/2d4400c28cbf3e115d8c575629682a26.jpg_340x340q80.jpg_.webp,https://static-01.daraz.pk/p/2d4400c28cbf3e115d8c575629682a26.jpg_80x80q80.jpg_.webp,"Rs. 6,000","Rs. 5,600",132025378_PK-1292237355,N/A,110 Ac convertor,"Sukoo, made in China",110 Ac convertor,Yes,No,N/A,N/A,N/A,N/A,N/A,N/A,2020,N/A,"EN
Service warranty",N/A,N/A,N/A,N/A,N/A,Service warranty,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
oriental-jupiter-dc-inverter-split-ac-15-ton,Oriental Jupiter DC Inverter Split AC - 1.5 Ton,https://static-01.daraz.pk/p/f64de2e3390378a31c0a4e12837b9a65.jpg_340x340q80.jpg_.webp,https://static-01.daraz.pk/p/f64de2e3390378a31c0a4e12837b9a65.jpg_80x80q80.jpg_.webp,"Rs. 78,500","Rs. 75,000",109220720_PK-1259300856,1.5 Ton / 18000 BTU,"Oriental Jupiter DC Inverter Split AC - 1.5 Ton

There is nothing better than thesmart air conditionerby orient, specially the ones which are capable of providing you the best quality service throughout the year. OrientJupiter DC Inverter Split AC- 1.5 Ton has the low voltage consumption and saves up to 60% electricity. The marvelous technology of Orient JupiterDC Inverter Split AC - 1.5 Tonis ecofriendly and provides you heat and cool operations as well. Now it comes with Printed Circuit Board kit installation and one-year brand warranty by orient, so place your order now!

Additional Information

Cooling

RATED CAPACITY (COOLING)	18000 Btu/h
RATED POWER CONSUMPTION (C)	1650 W
RUNNING CURRENT (C)	7.2 A
SEER (C)	3.6

Heating

RATED CAPACITY (H)	18000 Btu/h
RATED POWER CONSUMPTION (H)	1650 W
RUNNING CURRENT (H)	7.2 A
SEER (H)	3.6

Electrical Data

RATED VOLTAGE	220-240V
RATED FREQUENCY	1PH, 50HZ

Technical Information

AIR FLOW	835 m3/h
ID UNIT RESISTANCE CLASS	IPX0
SOUND LEVEL	45 dB(A)
REFRIGERANT	R-410A/1400 Grams

Dimensions (WxHxD)

INDOOR	965 x 215 x 319 mm
OUTDOOR	800 x 333 x 554 mm

Weight

INDOOR	11.8 Kg
OUTDOOR	34.9 Kg

Low Voltage Operation

LOW VOLTAGE OPERATION	150v

Warranty

COMPRESSOR	3 Years
PARTS	1 Year
R410A GAS	1 Year",Oriental,"Inner Unit, Outer Unit, Remote, Batteries, Wall Mounts for Inner, Set of Screws, Installation Pipes, Manual(s), Warranty Card",No,No,N/A,N/A,DC Inverter 1.5 Ton,18000,150-250 sq meters,1650,ORJ1.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ac-hair-hsu-18hj012usdc-ws-dc-inverter-50-to-75-energy-saving,"AC HAIR HSU-18HJ/012USDC (W,S) DC Inverter 50% to 75% Energy Saving",https://static-01.daraz.pk/p/dcca9b4ac424e8aa2942423f4c91ac7e.jpg_340x340q80.jpg_.webp,"https://static-01.daraz.pk/p/dcca9b4ac424e8aa2942423f4c91ac7e.jpg_80x80q80.jpg_.webp,https://static-01.daraz.pk/p/7150844bbd1a02956e772ebf7d7a4b71.jpg_80x80q80.jpg_.webp,https://static-01.daraz.pk/p/2ab5edd8a5932bcf13acc044ae743db7.jpg_80x80q80.jpg_.webp,https://static-01.daraz.pk/p/9e1ef3d6d75bbf182c279c6c32aba343.jpg_80x80q80.jpg_.webp,https://static-01.daraz.pk/p/854382f3c1a3b9a3a77e12b21a5cbb88.jpg_80x80q80.jpg_.webp,https://static-01.daraz.pk/p/4fe4a5a9eada1c482fe66296e4010281.jpg_80x80q80.jpg_.webp","Rs. 129,000","Rs. 126,000",117716499_PK-1270686970,1.5 Ton / 18000 BTU,​​​​​​​,Wood Hair,"Inner Unit, Outer Unit, Remote, Batteries, Wall Mounts for Inner, Set of Screws, Installation Pipes, Manual(s), Warranty Card",Yes,Yes,N/A,",Timer,Dehumidifier,Air Direction Control,Auto Cleaning,Fast Cooling,Silent Mode,Sensor Control",50% to 75% Energy Saving,18000,150-250 sq meters,750,HSU-18J/012USDC (W),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
orient-15-ton-air-conditioner-beta-silver-white,Orient - 1.5 Ton Air Conditioner - Beta - Silver White,https://static-01.daraz.pk/p/843fcb48e29a891ff33a4f069b877b34.jpg_340x340q80.jpg_.webp,"https://static-01.daraz.pk/p/843fcb48e29a891ff33a4f069b877b34.jpg_80x80q80.jpg_.webp,https://static-01.daraz.pk/p/627517a2049b501936c8e9f51c7417d0.jpg_80x80q80.jpg_.webp",,"Rs. 52,999",102182641_PK-1247874177,1.5 Ton / 18000 BTU,"The Orient 1.5 Ton Beta Silver White air conditioner allows you to conveniently see, set and maintain the room temperature from across the room. Operating on low power, the AC saves you money in the long run. Moreover, its quiet operation helps you get a good night's sleep.ooling

Cooling

RATED CAPACITY (COOLING)	18000 Btu/h
RATED POWER CONSUMPTION (C)	2029 W
RUNNING CURRENT (C)	8.8 A
SEER (C)	2.6

Electrical Data

RATED VOLTAGE	220-240V
MAX.INPUT POWER	2200 Watt
MAX.INPUT CURRENT	12 Amps
RATED FREQUENCY	1PH, 50HZ

Technical Information

AIR FLOW	808 m3/h
ID UNIT RESISTANCE CLASS	IPX0
SOUND LEVEL	43.8 dB(A)
REFRIGERANT	R-410A/880 Grams

Dimensions (WxHxD)

INDOOR	957 x 213 x 302
OUTDOOR	770 x 300 x 555

Weight

INDOOR	10.4 KG
OUTDOOR	34.0 KG

Warranty

COMPRESSOR	3 Years
PARTS	1 Year
R410A GAS	1 Year",Orient,"1*Warranty card,1*User Manual,1*10 Feet Copper Pipe",No,No,N/A,No,N/A,N/A,N/A,N/A,Beta 1.5 Ton,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
dawlance-split-elegance-inverter-18-k-white,Dawlance - Split - Elegance Inverter 18 K - White,https://static-01.daraz.pk/p/5cefb2d613de1fac47f509d14495e8b0.jpg_340x340q80.jpg_.webp,https://static-01.daraz.pk/p/5cefb2d613de1fac47f509d14495e8b0.jpg_80x80q80.jpg_.webp,"Rs. 90,000","Rs. 71,700",121688861_PK-1277582550,N/A,Dawlance - Split - Elegance Inverter 18 K - White,Dawlance,1X SPLIT 1X WARRANTY CARD 1X USER MANUAL,Yes,Yes,N/A,N/A,N/A,N/A,N/A,N/A,ELEGANCE INVERTER 18 K,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
dawlance-1-ton-inverter-pro-active-air-conditioner-heat-and-cool,Dawlance - 1 ton Inverter - Pro Active - air conditioner - Heat and Cool,https://static-01.daraz.pk/p/eab6b5552b151b1a3b156496924d5ad8.jpg_340x340q80.jpg_.webp,https://static-01.daraz.pk/p/eab6b5552b151b1a3b156496924d5ad8.jpg_80x80q80.jpg_.webp,"Rs. 60,000","Rs. 56,999",105696227_PK-1253208151,N/A,"Turbo Cool
LED Display
Auto Restart
Eco Friendly tech
Wide angle Air Flow
Anti Rust Out Door casing
Large Indoor Unit",Dawlance,"Inner, outer, remote, connection pipes, fitting material",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
electrolux-inverter-10-ton-split-air-conditioner-royale,Electrolux Inverter 1.0 ton Split Air conditioner Royale,https://laz-img-cdn.alicdn.com/tfs/TB13MLwbOLaK1RjSZFxXXamPFXa-300-200.png,"https://laz-img-cdn.alicdn.com/tfs/TB1oP2bbQvoK1RjSZFNXXcxMVXa-300-200.png,https://static-01.daraz.pk/p/c16e409377a01a849e67ee16f2fbfa44.jpg_80x80q80.jpg_.webp",,"Rs. 78,800",109000315_PK-1258802867,N/A,"Electrolux specializes in manufacturing and assembling of Refrigerator, Air Conditioner and LCD/LED in collaboration with global electronics giant Electrolux in Pakistan. Electrolux is top European brand established over 80 years ago and leading the industry with continuous technological advancements, design innovations and acquisitions have made Electrolux Group today a global leader in Home Appliances and Appliances for professional use.",Electrolux,1 x AC,No,No,N/A,N/A,N/A,N/A,N/A,N/A,SEA-1485,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
daikin-1-ton-cool-only-r-22-air-conditioner,Daikin 1 Ton Cool Only R-22 Air Conditioner,https://static-01.daraz.pk/p/6616a929fd155ad4e15f7babb288ef2f.jpg_340x340q80.jpg_.webp,https://static-01.daraz.pk/p/6616a929fd155ad4e15f7babb288ef2f.jpg_80x80q80.jpg_.webp,,"Rs. 75,900",DA800HL01KL3KNAFAMZ-3785835,1 Ton / 12000 BTU,"Daikin Industries, Ltd.is a Japanesemultinational air-conditioning manufacturing company headquartered in Osaka. It has operations in Japan, China, Australia, India, Philippines, Southeast Asia, Europe, North America, and South America. Daikinis the inventor ofvariable refrigerant volume systems (or VRV by Daikin air conditioning, other manufacturers remarked this as VRF) and an innovator in the split system air conditioning market. Daikin developed R-410A refrigerant as well. Daikin's wall-mounted units are ideal for cooling or heating smaller zones such as stores, offices, and restaurants. The compact, stylish design lets the unit blend discreetly into any interior design, and airflow can be supplied in any of five different directions and easily programmed via remote control.",Daikin,"1 x Indoor, 1 x Outdoor, 1 x Remote Controller, 1 x Warranty Card",No,No,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,"EN
3 year compressor & 1 year parts warranty",N/A,N/A,N/A,N/A,N/A,3 year compressor & 1 year parts warranty,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
whirlpool-dc-inverter-412tj-with-new-3d-cooling-6-sence-technology,Whirlpool Dc Inverter 412TJ With New 3D Cooling 6 Sence Technology,https://static-01.daraz.pk/p/0d38cdccaf6c837674ea0b9cf2c37e77.jpg_340x340q80.jpg_.webp,https://static-01.daraz.pk/p/0d38cdccaf6c837674ea0b9cf2c37e77.jpg_80x80q80.jpg_.webp,,"Rs. 95,000",110152565_PK-1260868974,N/A,"Capicty 1 Ton
6th Sence Intelli Comfort Technology
Gold Fin Condenser & Evaporator
Low Voltage Operation
Lower Noise
Sleep Mode
100% Copper
Rust Free
Dual Power Saving
Bacteria Filter
Intuitive Logic Chip
3D- HD Design
10 Years Compressor Warranty
3D Cool Technology
Around U Function",Whirlpool,1 x Indoor 1 x Outdoor 1 x Remote 1 x Copper Wire Installation Kit,No,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
dawlance-powercon-30-inverter-air-conditioner-15-ton,Dawlance Powercon 30 Inverter Air Conditioner 1.5 Ton,https://static-01.daraz.pk/p/mdc/4d6bcf53d1f03f38b427045208f3d484.jpg_340x340q80.jpg_.webp,"https://static-01.daraz.pk/p/mdc/4d6bcf53d1f03f38b427045208f3d484.jpg_80x80q80.jpg_.webp,https://static-01.daraz.pk/p/mdc/a26551c68324360b8eeb7f0ac6dd4d63.jpg_80x80q80.jpg_.webp","Rs. 78,000","Rs. 70,000",130494720_PK-1290363175,N/A,"Product details of Dawlance Powercon 30 Inverter Air Conditioner 1.5 Ton
Note: For professional installation services, please go to the Top Up & eStore on the Daraz homepage and select Home Services

DAWLANCE Powercon Inverter Series is a high performance AC unit which provides Quick Cooling, Long Air-Throw with durability and safety.It’s Auto Refrigerant Leakage Detection & Fire Proof Control system is the most advanced function which ensures safety for you & your family.",Dawlance,"Installation Kit, Wires, Warranty Card, Remote & Manual",Yes,Yes,N/A,Air Conditioner,N/A,N/A,N/A,N/A,Powercon - DC Inverter Air Conditioner,N/A,"EN
12 Years Compressor & 1 Year Parts Warranty",N/A,N/A,N/A,N/A,N/A,12 Years Compressor & 1 Year Parts Warranty,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
